group,_bin,mem_mb,cpu_pct_1core
nez,2,35.039,0
nez,4,35.039,0.029
nez,6,35.039,0.014
nez,8,35.039,0.013
nez,10,73.781,58.369
nez,12,84.574,56.142
nez,14,85.117,10.576
nez,16,307.566,169.551
nez,18,586.284,84.888
nez,20,875.281,106.096
nez,22,993.418,85.123
nez,24,1245.328,66.648
nez,26,1449.526,121.656
nez,28,1719.214,65.39
nez,30,1877.878,112.831
nez,32,1878.05,55.375
nez,34,2251.34,13.03
nez,36,2552.46,193.733
nez,38,2867.679,105.649
nez,40,3149.112,118.191
nez,42,3274.346,110.899
nez,44,3714.174,267.866
nez,46,3831.483,111.239
nez,48,3942.125,104.83
nez,50,3942.018,52.234
nez,52,3942.061,47.153
nez,54,3942.184,62.815
nez,56,3942.2,48.732
nez,58,3942.228,59.94
nez,60,3942.611,85.446
nez,62,3941.834,38.49
nez,64,3942.349,43.453
nez,66,3942.123,51.64
nez,68,3942.26,47.543
nez,70,3941.995,52.424
nez,72,3942.006,52.806
nez,74,3942.412,62.562
nez,76,3942.398,72.008
nez,78,3942.006,45.586
nez,80,3942.16,46.475
nez,82,3942.289,53.309
nez,84,3942.409,54.166
nez,86,3942.42,44.49
nez,88,3942.283,56.558
nez,90,3942.924,65.985
nez,92,3959.468,122.645
nez,94,4023.482,244.392
nez,96,4408.142,845.911
nez,98,4341.526,698.893
nez,100,3995.691,447.859
nez,102,4510.307,694.108
nez,104,6118.027,1869.145
nez,106,7144.757,1614.512
nez,108,7510.809,1450.95
nez,110,7516.477,1013.366
nez,112,7585.213,894.838
nez,114,7572.963,904.523
nez,116,7582.431,957.834
nez,118,7567.112,906.889
nez,120,7596.048,864.965
nez,122,7606.536,954.346
nez,124,7607.104,890.352
nez,126,7612.609,974.685
nez,128,7612.026,837.563
nez,130,7643.378,890.268
nez,132,7635.77,850.051
nez,134,7625.27,791.827
nez,136,7373.593,1114.487
nez,138,6937.171,1372.236
nez,140,6968.527,2018.698
nez,142,7260.23,1406.684
nez,144,7333.311,1426.124
nez,146,7488.933,1098.27
nez,148,7536.546,867.184
nez,150,7572.809,1040.213
nez,152,7586.646,1049.712
nez,154,7589.565,976.04
nez,156,7590.994,1065.126
nez,158,7584.495,957.298
nez,160,7571.663,1001.347
nez,162,7608.513,989.35
nez,164,7605.911,948.643
nez,166,7529.536,980.803
nez,168,7444.653,1070.878
nez,170,7348.137,970.358
nez,172,6720.677,1411.522
nez,174,6691.212,1397.631
nez,176,6699.905,1148.154
nez,178,6420.3,928.095
nez,180,6600.555,1056.31
nez,182,6696.792,1097.089
nez,184,6710.208,748.984
nez,186,6664.941,911.242
nez,188,6693.331,668.894
nez,190,6723.847,808.426
nez,192,6702.97,737.534
nez,194,6729.366,784.697
nez,196,6729.232,705.322
nez,198,6705.781,659.097
nez,200,6636.532,985.173
nez,202,6374.435,1119.628
nez,204,6140.398,1052.136
nez,206,6019.057,879.864
nez,208,6001.053,922.368
nez,210,5687.026,621.531
nez,212,5684.725,876.482
nez,214,5731.047,544.363
nez,216,5605.663,531.657
nez,218,5703.629,634.704
nez,220,5682.529,538.085
nez,222,5721.562,596.306
nez,224,5723.589,419.702
nez,226,5734.042,598.766
nez,228,5717.324,591.391
nez,230,5728.953,635.86
nez,232,5711.316,644.153
nez,234,5251.917,599.199
nez,236,5161.701,188.683
nez,238,4592.263,782.812
nez,240,4359.166,388.234
nez,242,4267.289,455.685
nez,244,4265.16,225.581
nez,246,4266.361,171.027
nez,248,4270.455,377.18
nez,250,4196.08,259.62
nez,252,4114.979,223.215
nez,254,6072.38,2070.604
nez,257,7338.097,724.869
nez,259,9934.234,1942.474
nez,261,11241.039,1835.17
nez,263,12313.715,1640.229
nez,265,14122.454,1935.144
nez,268,18893.156,2020.475
nez,270,24128.292,2152.454
nez,272,44780.001,2220.961
nez,274,48224.262,2233.314
nez,276,25051.057,2421.092
nez,278,25009.902,2176.036
nez,280,24398.174,2091.204
nez,282,32120.718,2328.757
nez,284,54425.784,2286.827
nez,286,36992.646,2150.117
nez,289,25646.404,2375.397
nez,291,28802.441,11226.881
nez,302,25325.769,453.328
nez,304,35162.64,1983.747
nez,306,42016.958,1803.414
nez,308,41437.435,1750.613
nez,310,33820.564,1900.224
nez,313,29376.929,1811.631
nez,315,26388.065,1861.703
nez,317,37652.414,1962.145
nez,319,39763.974,1909.821
nez,321,46321.68,2367.374
nez,324,34397.786,7926.946
nez,332,35601.044,1113.833
nez,338,32169.621,1702.799
nez,340,38771.101,1851.496
nez,342,35751.976,1816.618
nez,344,45098.601,1831.078
nez,346,31182.815,1824.702
nez,348,29646.225,1812.37
nez,350,37033.488,1950.561
nez,353,33676.782,2067.443
nez,356,28664.726,4360.989
nez,362,35686.447,890.524
nez,364,28232.335,9706.259
nez,374,31074.182,799.518
nez,377,37833.092,1263.808
nez,379,32204.026,1879.561
nez,381,40145.066,2146.931
nez,383,34285.481,3033.746
nez,387,37782.638,1220.254
nez,389,37855.52,1773.607
nez,392,31629.811,1911.586
nez,396,37567.925,3207.546
nez,401,37104.596,4110.441
nez,409,34399.852,435.43
nez,411,35884.045,2238.725
nez,413,35553.956,1845.878
nez,415,39686.127,4054.909
nez,420,32252.393,1351.061
nez,424,34898.755,1587.369
nez,426,35196.745,2204.486
nez,429,34545.73,2268.347
nez,433,35664.945,5706.206
nez,444,38213.595,744.098
nez,446,31520.28,1801.982
nez,449,37532.202,2750.548
nez,454,30533.519,2639.982
nez,460,35834.632,2372.546
nez,465,40102.835,964.562
nez,467,43088.235,1947.9
nez,470,36774.615,2500.599
nez,473,35899.97,4066.678
nez,479,41565.359,955.531
nez,481,38042.317,1747.801
nez,484,36741.95,2074.23
nez,487,39159.846,2265.438
nez,490,36650.488,1810.556
nez,493,39589.326,1662.443
nez,495,36884.815,2020.6
nez,497,34606.657,1940.578
nez,499,34762.156,2029.945
nez,501,36100.481,2328.06
nez,504,42200.154,2470.883
nez,508,41783.021,4256.153
nez,515,38070.498,924.011
nez,517,41905.722,1846.912
nez,520,36909.288,3617.846
nez,526,40927.209,934.726
nez,529,41402.724,1879.601
nez,531,40296.927,1977.959
nez,533,33275.295,1943.431
nez,536,33999.162,2004.833
nez,538,36947.612,2104.397
nez,540,36206.594,10073.842
nez,550,37989.85,431.17
nez,552,38738.101,2193.349
nez,555,35620.159,1919.318
nez,557,38053.288,2704.422
nez,560,38019.012,1292.788
nez,562,38107.699,2028.585
nez,565,42259.072,1949.485
nez,568,39422.428,1819.371
nez,570,35686.829,2080.744
nez,572,36082.087,2073.222
nez,574,43684.181,2274.757
nez,576,39531.088,8450.974
nez,586,35331.914,451.363
