group,_bin,mem_mb,cpu_pct_1core
parsl,2.0,13173.031,1095.012
parsl,4.0,12712.762,570.966
parsl,6.0,13077.73,1140.917
parsl,8.0,13184.871,757.155
parsl,10.0,13116.703,324.221
parsl,12.0,13270.656,1887.16
parsl,14.0,13422.285,301.941
parsl,16.0,12815.977,788.795
parsl,18.0,12997.133,1155.407
parsl,20.0,12949.242,329.303
parsl,22.0,12808.059,489.974
parsl,24.0,13283.922,1259.098
parsl,26.0,13137.789,558.896
parsl,28.0,12856.746,710.976
parsl,30.0,13221.027,1505.472
parsl,32.0,12890.094,982.651
parsl,34.0,13084.453,988.732
parsl,36.0,12997.281,208.475
parsl,38.0,12908.746,706.77
parsl,40.0,13231.02,1827.802
parsl,42.0,13231.02,0.0
parsl,44.0,13406.594,1889.879
parsl,46.0,13287.336,310.734
parsl,48.0,12697.371,440.441
parsl,50.0,13030.379,1487.557
parsl,52.0,13005.133,280.958
parsl,54.0,13260.438,1472.75
parsl,56.0,13489.879,530.255
parsl,58.0,12883.035,974.153
parsl,60.0,13332.332,980.552
parsl,62.0,13012.125,613.43
parsl,64.0,12930.152,983.945
parsl,66.0,13031.355,849.035
parsl,68.0,12968.559,250.94
parsl,70.0,12882.035,647.635
parsl,72.0,13549.27,1507.298
parsl,74.0,13092.566,1216.321
parsl,76.0,13332.961,1067.822
parsl,78.0,13020.836,239.389
parsl,80.0,12987.629,873.619
parsl,82.0,13141.5,979.318
parsl,84.0,13019.809,159.262
parsl,86.0,13087.699,1123.118
parsl,88.0,13202.68,1024.117
parsl,90.0,12970.16,732.335
parsl,92.0,13410.785,1152.128
parsl,94.0,13023.371,453.226
parsl,96.0,12907.16,566.308
parsl,98.0,13186.613,953.311
parsl,100.0,12754.125,706.459
parsl,102.0,13054.227,977.498
parsl,104.0,13244.207,742.364
parsl,106.0,12706.5,487.976
parsl,108.0,13105.453,916.668
parsl,110.0,12602.375,1157.004
parsl,112.0,12926.078,547.7
parsl,114.0,13242.965,1853.84
parsl,116.0,13125.504,686.532
parsl,118.0,13152.34,1979.166
parsl,120.0,13590.203,1544.27
parsl,122.0,13042.633,1998.336
parsl,124.0,13413.773,1323.24
parsl,126.0,13126.344,1366.803
parsl,128.0,13130.195,421.438
parsl,130.0,13012.34,1087.823
parsl,132.0,12944.336,3028.938
parsl,134.0,12944.336,0.0
parsl,136.0,13338.426,2634.317
parsl,138.0,13238.363,844.645
parsl,140.0,13217.016,2189.473
parsl,142.0,13469.566,1360.2
parsl,144.0,12927.527,934.39
parsl,146.0,13071.156,1713.767
parsl,148.0,13271.121,1273.691
parsl,150.0,13067.195,1113.202
parsl,152.0,13046.844,728.224
parsl,154.0,13346.844,2455.635
parsl,156.0,12922.762,1067.257
parsl,158.0,13356.547,1702.576
parsl,160.0,13170.445,1640.598
parsl,162.0,12992.137,1639.309
parsl,164.0,13429.426,1248.503
parsl,166.0,13129.699,1112.055
parsl,168.0,13207.027,1684.585
parsl,170.0,13288.844,1373.398
parsl,172.0,12789.289,1006.917
parsl,174.0,13331.641,1820.35
parsl,176.0,13583.223,876.844
parsl,178.0,12866.816,1104.951
parsl,180.0,13281.715,1837.247
parsl,182.0,13065.535,975.909
parsl,184.0,12997.359,904.229
parsl,186.0,13272.184,1441.593
parsl,188.0,13404.637,2342.345
parsl,190.0,13119.785,1252.238
parsl,192.0,13493.645,1873.373
parsl,194.0,13239.77,819.078
parsl,196.0,12995.578,1082.13
parsl,198.0,13500.871,2182.046
parsl,200.0,13059.695,1479.484
parsl,202.0,13383.902,1398.27
parsl,204.0,13356.398,1067.293
parsl,206.0,12954.965,898.167
parsl,208.0,13401.469,1632.709
parsl,210.0,13159.125,1713.702
parsl,212.0,12876.094,827.27
parsl,214.0,13162.57,1202.469
parsl,216.0,12839.824,2119.746
parsl,218.0,13089.98,856.939
parsl,220.0,13521.414,1624.596
parsl,222.0,13126.566,988.919
parsl,224.0,13401.25,2500.782
parsl,226.0,13479.281,1065.469
parsl,228.0,13183.434,1036.089
parsl,230.0,13338.277,2129.487
parsl,232.0,13294.523,845.513
parsl,234.0,12887.645,1049.71
parsl,236.0,13519.242,2301.535
parsl,238.0,13221.684,690.231
parsl,240.0,13015.496,1270.087
parsl,242.0,13428.715,1643.955
parsl,244.0,13060.609,1749.177
parsl,246.0,12808.855,727.215
parsl,248.0,12815.969,3444.582
parsl,250.0,12815.969,0.0
parsl,252.0,13360.891,2123.888
parsl,254.0,13239.887,1235.913
parsl,256.0,12981.035,1373.552
parsl,258.0,13352.516,1460.474
parsl,260.0,13163.895,2052.377
parsl,262.0,12957.246,818.802
parsl,264.0,13390.898,2100.97
parsl,266.0,12975.66,1358.739
parsl,268.0,13296.75,1386.17
parsl,270.0,13199.453,1310.666
