group,_bin,mem_mb,cpu_pct_1core
makeflow,2,3.188,0.007
makeflow,4,3.188,0.02
makeflow,6,3.188,0.004
makeflow,8,3.188,0.016
makeflow,10,5.91,8.958
makeflow,12,7.285,62.543
makeflow,14,697.039,1667.331
makeflow,16,550.375,1425.221
makeflow,18,615.871,4262.553
makeflow,20,534.41,1418.628
makeflow,22,626.773,2753.975
makeflow,24,629.18,923.594
makeflow,26,553.48,747.27
makeflow,28,591.965,1953.584
makeflow,30,622.312,1505.552
makeflow,32,630.984,334.654
makeflow,34,630.984,0.002
makeflow,36,630.984,0.005
makeflow,38,630.984,0.002
makeflow,40,630.984,0.003
makeflow,42,630.984,0.006
makeflow,44,630.984,0.001
makeflow,46,630.984,0.004
makeflow,48,630.984,0.002
makeflow,50,630.984,0.006
makeflow,52,630.984,0.002
makeflow,54,630.984,0.005
makeflow,56,630.984,0.003
makeflow,58,652.742,53.498
makeflow,60,630.934,22.086
makeflow,62,630.934,0.003
makeflow,64,630.934,0.005
makeflow,66,630.934,0.002
makeflow,68,630.934,0.004
makeflow,70,630.934,0.004
makeflow,72,630.934,0.001
makeflow,74,630.934,0.001
makeflow,76,630.934,0.003
makeflow,78,630.934,0.005
makeflow,80,630.934,0.017
makeflow,82,630.934,0.057
makeflow,84,630.934,0.25
makeflow,86,630.934,0.088
makeflow,88,630.934,0.013
makeflow,90,630.934,0.003
makeflow,92,630.922,0.026
makeflow,94,630.922,0.039
makeflow,96,630.922,0.076
makeflow,98,630.922,0.041
makeflow,100,630.93,0.108
makeflow,102,630.973,80.981
makeflow,104,630.934,0.025
makeflow,106,635.172,86.77
makeflow,108,908.727,181.858
makeflow,110,1352.508,1853.51
makeflow,112,1241.02,2707.656
makeflow,114,650.441,3239.068
makeflow,116,650.441,0
makeflow,118,650.441,0.004
makeflow,120,650.441,0.004
makeflow,122,650.441,0.004
makeflow,124,650.441,0.003
makeflow,126,650.441,0.002
makeflow,128,650.441,0.01
makeflow,130,650.441,0.002
makeflow,132,650.418,0.035
makeflow,134,687.879,84.235
makeflow,136,650.449,5.352
makeflow,138,650.426,0.189
makeflow,140,693.348,123.976
makeflow,142,650.523,9.05
makeflow,144,650.43,0.201
makeflow,146,650.43,0.002
makeflow,148,650.43,0.003
makeflow,150,650.43,0.004
makeflow,152,650.43,0.032
makeflow,154,650.43,0.153
makeflow,156,650.43,0.021
makeflow,158,650.43,0.025
makeflow,160,653.512,26.332
makeflow,162,655.512,95.491
makeflow,164,1359.562,948.779
makeflow,166,2688.219,1282.522
makeflow,168,4582.496,1798.496
makeflow,170,5666.723,1032.425
makeflow,172,7404.852,1356.357
makeflow,174,16380.566,3407.106
makeflow,176,20007.746,3280.214
makeflow,178,14815.801,3004.298
makeflow,180,10789.625,1324.225
makeflow,182,10279.113,1191.579
makeflow,184,8209.75,1226.441
makeflow,186,2792.844,1465
makeflow,188,3734.492,926.637
makeflow,190,9111.613,2529.536
makeflow,192,9371.324,1026.558
makeflow,194,8848.785,2103.003
makeflow,196,12545.234,3102.954
makeflow,198,12655.762,2490.477
makeflow,200,12288.805,2781.596
makeflow,202,12288.805,0
makeflow,204,10511.102,1996.806
makeflow,206,10893.254,798.001
makeflow,208,5124.879,2394.093
makeflow,210,4492.254,1234.084
makeflow,212,6794.5,1355.145
