t_sec,container,cpu_rate_core,cpu_pct_1core,mem_working_set_bytes,mem_mb
2.0,/,1.9924,199.24,13157728256,12548.188
2.0,/init.scope,0.0,0.0,8982528,8.566
2.0,/system.slice,0.338407,33.841,3838259200,3660.449
2.0,/system.slice/ModemManager.service,0.0,0.0,7966720,7.598
2.0,/system.slice/NetworkManager.service,0.000746,0.075,20140032,19.207
2.0,/system.slice/accounts-daemon.service,3.4e-05,0.003,8929280,8.516
2.0,/system.slice/avahi-daemon.service,0.0,0.0,1769472,1.688
2.0,/system.slice/bluetooth.service,0.0,0.0,3080192,2.938
2.0,/system.slice/colord.service,0.0,0.0,16363520,15.605
2.0,/system.slice/containerd.service,0.000857,0.086,166514688,158.801
2.0,/system.slice/cron.service,0.0,0.0,499712,0.477
2.0,/system.slice/cups-browsed.service,0.0,0.0,7192576,6.859
2.0,/system.slice/cups.service,0.0,0.0,7184384,6.852
2.0,/system.slice/dbus.service,0.001757,0.176,5357568,5.109
2.0,cadvisor,0.228314,22.831,117682176,112.23
2.0,/system.slice/docker.service,0.01822,1.822,325677056,310.59
2.0,/system.slice/docker.socket,0.0,0.0,0,0.0
2.0,/system.slice/fsidd.service,0.0,0.0,458752,0.438
2.0,/system.slice/fwupd.service,0.0,0.0,15937536,15.199
2.0,/system.slice/gpservice.service,0.0,0.0,12193792,11.629
2.0,/system.slice/kerneloops.service,0.0,0.0,1355776,1.293
2.0,/system.slice/mysql.service,0.004261,0.426,401510400,382.91
2.0,/system.slice/nfs-blkmap.service,0.0,0.0,782336,0.746
2.0,/system.slice/nfs-idmapd.service,0.0,0.0,446464,0.426
2.0,/system.slice/nfs-mountd.service,0.0,0.0,1052672,1.004
2.0,/system.slice/nfsdcld.service,0.0,0.0,2379776,2.27
2.0,/system.slice/openvswitch-testcontroller.service,0.0,0.0,2043904,1.949
2.0,/system.slice/ovs-vswitchd.service,0.0,0.0,4616192,4.402
2.0,/system.slice/ovsdb-server.service,0.0,0.0,12636160,12.051
2.0,/system.slice/polkit.service,5e-05,0.005,5386240,5.137
2.0,/system.slice/power-profiles-daemon.service,0.0,0.0,1544192,1.473
2.0,/system.slice/rpc-statd.service,0.0,0.0,585728,0.559
2.0,/system.slice/rpcbind.service,0.0,0.0,1740800,1.66
2.0,/system.slice/rpcbind.socket,0.0,0.0,20480,0.02
2.0,/system.slice/rsyslog.service,0.0,0.0,2940928,2.805
2.0,/system.slice/rtkit-daemon.service,4.6e-05,0.005,708608,0.676
2.0,/system.slice/sddm.service,0.053868,5.387,180514816,172.152
2.0,/system.slice/smartmontools.service,0.0,0.0,1929216,1.84
2.0,/system.slice/snapd.service,0.0,0.0,64479232,61.492
2.0,/system.slice/snapd.socket,0.0,0.0,0,0.0
2.0,/system.slice/ssh.socket,0.0,0.0,8192,0.008
2.0,/system.slice/swapfile.swap,0.0,0.0,40960,0.039
2.0,/system.slice/switcheroo-control.service,0.0,0.0,1257472,1.199
2.0,/system.slice/system-modprobe.slice,0.0,0.0,4096,0.004
2.0,/system.slice/system-postgresql.slice,0.000112,0.011,57843712,55.164
2.0,/system.slice/system-postgresql.slice/postgresql@15-main.service,4.4e-05,0.004,29970432,28.582
2.0,/system.slice/system-postgresql.slice/postgresql@16-main.service,3.5e-05,0.004,27799552,26.512
2.0,/system.slice/system-systemd\x2dbacklight.slice,0.0,0.0,49152,0.047
2.0,/system.slice/system-systemd\x2dfsck.slice,0.0,0.0,49152,0.047
2.0,/system.slice/systemd-journald.service,0.0,0.0,27189248,25.93
2.0,/system.slice/systemd-logind.service,0.0,0.0,2232320,2.129
2.0,/system.slice/systemd-resolved.service,0.0,0.0,5824512,5.555
2.0,/system.slice/systemd-timesyncd.service,0.0,0.0,1609728,1.535
2.0,/system.slice/systemd-udevd.service,0.0,0.0,15679488,14.953
2.0,/system.slice/systemd-udevd.service/udev,0.0,0.0,0,0.0
2.0,/system.slice/teamviewerd.service,0.000912,0.091,16429056,15.668
2.0,/system.slice/udisks2.service,3.4e-05,0.003,9568256,9.125
2.0,/system.slice/unattended-upgrades.service,0.0,0.0,10919936,10.414
2.0,/system.slice/upower.service,0.0,0.0,2949120,2.812
2.0,/system.slice/uuidd.service,0.0,0.0,565248,0.539
2.0,/system.slice/vpnagentd.service,0.0,0.0,38121472,36.355
2.0,/system.slice/winbind.service,0.0,0.0,24555520,23.418
2.0,/system.slice/wpa_supplicant.service,0.0,0.0,6295552,6.004
2.0,/user.slice,1.214058,121.406,10952241152,10444.871
2.0,/user.slice/user-1000.slice,2.525862,252.586,10938011648,10431.301
