t_sec,container,cpu_rate_core,cpu_pct_1core,mem_working_set_bytes,mem_mb
2.002,/,25.890004,2589,17692225536,16872.621
2.002,/init.scope,0.002752,0.275,252948480,241.23
2.002,/system.slice,8.608213,860.821,21647122432,20644.305
2.002,/system.slice/ModemManager.service,0.000055,0.006,31698944,30.23
2.002,/system.slice/containerd.service,0.129487,12.949,263450624,251.246
2.002,/system.slice/cron.service,0.000028,0.003,1142784,1.09
2.002,/system.slice/dbus.service,0.000155,0.016,4726784,4.508
2.002,/system.slice/dev-disk-by\x2duuid-23af450e\x2da4df\x2d41c1\x2d8f9d\x2d0e2f8fd0cdc3.swap,0,0,118784,0.113
2.002,cadvisor,0.28192,28.192,112320512,107.117
2.002,/system.slice/docker.service,0.280156,28.016,5225742336,4983.656
2.002,/system.slice/docker.socket,0,0,0,0
2.002,/system.slice/fail2ban.service,0.00032,0.032,15802368,15.07
2.002,/system.slice/irqbalance.service,0,0,1249280,1.191
2.002,/system.slice/mictlanx-rm.service,0.001604,0.16,229523456,218.891
2.002,/system.slice/multipathd.service,0.00004,0.004,23310336,22.23
2.002,/system.slice/networkd-dispatcher.service,0.033662,3.366,24748032,23.602
2.002,/system.slice/nginx.service,0,0,25698304,24.508
2.002,/system.slice/packagekit.service,0.00015,0.015,5181440,4.941
2.002,/system.slice/polkit.service,0.000985,0.099,2420736,2.309
2.002,/system.slice/rsyslog.service,0.001584,0.158,57565184,54.898
2.002,/system.slice/snapd.service,0.010022,1.002,24154112,23.035
2.002,/system.slice/snapd.socket,0,0,0,0
2.002,/system.slice/ssh.service,0,0,11730944,11.188
2.002,/system.slice/system-getty.slice,0,0,503808,0.48
2.002,/system.slice/system-getty.slice/getty@tty1.service,0,0,417792,0.398
2.002,/system.slice/system-modprobe.slice,0,0,569344,0.543
2.002,/system.slice/system-systemd\x2dfsck.slice,0,0,1277952,1.219
2.002,/system.slice/systemd-journald.service,0.003719,0.372,1333080064,1271.324
2.002,/system.slice/systemd-logind.service,0.000747,0.075,1720320,1.641
2.002,/system.slice/systemd-networkd.service,0.000438,0.044,496287744,473.297
2.002,/system.slice/systemd-resolved.service,0.018173,1.817,9613312,9.168
2.002,/system.slice/systemd-timesyncd.service,0.001623,0.162,1449984,1.383
2.002,/system.slice/systemd-udevd.service,0.005556,0.556,237486080,226.484
2.002,/system.slice/udisks2.service,0,0,4435968,4.23
2.002,/system.slice/unattended-upgrades.service,0,0,10801152,10.301
2.002,/system.slice/upower.service,0,0,1736704,1.656
2.002,/system.slice/wazuh-agent.service,0.000579,0.058,43606016,41.586
2.002,/user.slice,0.162343,16.234,455282688,434.191
2.002,/user.slice/user-1002.slice,0.162211,16.221,200380416,191.098
2.002,/user.slice/user-1002.slice/session-130.scope,0.115554,11.555,124530688,118.762
2.002,/user.slice/user-1002.slice/session-139.scope,0.000993,0.099,24199168,23.078
2.002,/user.slice/user-1002.slice/session-140.scope,0,0,4059136,3.871
2.002,/user.slice/user-1002.slice/session-142.scope,0.043016,4.302,16474112,15.711
2.002,/user.slice/user-1002.slice/user@1002.service,0.002659,0.266,17461248,16.652
2.002,/user.slice/user-1002.slice/user@1002.service/app.slice,0,0,90112,0.086
2.002,/user.slice/user-1002.slice/user@1002.service/app.slice/dbus.socket,0,0,4096,0.004
2.002,/user.slice/user-1002.slice/user@1002.service/init.scope,0.010764,1.076,12443648,11.867
2.002,mictlanx-peer-0.1.oaq1sn6le17cvfl7l9hdzwsoe,0.000482,0.048,223653888,213.293
2.002,cvat_cvat_redis_ondisk.1.k95r9hebnn30nq16yqwpz3w0e,0.000913,0.091,23953408,22.844
2.002,cvat_cvat_utils.1.r9axn06gy1gehinlbr5gh8vay,1.767439,176.744,109318144,104.254
2.002,cvat_cvat_redis_inmem.1.chgn9wq9tkhqbazqs4tw3dzly,0.001591,0.159,4878336,4.652
2.002,cvat_cvat_worker_quality_reports.1.y8kko8f7k0xgyopr33r82uke0,2.393943,239.394,153964544,146.832
2.002,cvat_cvat_worker_webhooks.1.66za3crpmq287bya5t7yxy4ht,1.24095,124.095,99278848,94.68
2.002,cvat_cvat_db.1.rscd0iys3k5al5upu8etcer7u,0.025569,2.557,37642240,35.898
