group,_bin,mem_mb,cpu_pct_1core
nextflow,2.0,2341.645,0.004
nextflow,4.0,2341.645,0.001
nextflow,6.0,2341.645,0.023
nextflow,8.0,2341.645,0.035
nextflow,10.0,2540.195,279.472
nextflow,12.0,2708.238,650.249
nextflow,14.0,3271.625,1226.15
nextflow,16.0,2780.512,2432.478
nextflow,18.0,3039.84,1763.385
nextflow,20.0,2778.281,953.795
nextflow,22.0,3193.559,575.952
nextflow,24.0,2820.027,847.651
nextflow,26.0,3535.035,2536.604
nextflow,28.0,3390.98,1022.548
nextflow,30.0,3364.965,1734.909
nextflow,32.0,3216.773,2020.183
nextflow,34.0,3493.883,3380.291
nextflow,36.0,3543.512,1513.288
nextflow,38.0,3221.43,2347.568
nextflow,40.0,3213.754,653.648
nextflow,42.0,3516.586,1245.521
nextflow,44.0,3640.148,850.971
nextflow,46.0,3555.598,1531.529
nextflow,48.0,3579.469,2400.05
nextflow,50.0,3630.02,2794.292
nextflow,52.0,3543.25,1932.737
nextflow,54.0,3187.023,1579.214
nextflow,56.0,3657.012,1598.921
nextflow,58.0,3539.457,1827.791
nextflow,60.0,3574.504,1150.183
nextflow,62.0,3623.082,1746.973
nextflow,64.0,3580.473,836.224
nextflow,66.0,3698.82,2725.332
nextflow,68.0,3759.188,1383.524
nextflow,70.0,3521.074,1384.307
nextflow,72.0,3449.531,3433.089
nextflow,74.0,3865.074,1399.874
nextflow,76.0,3871.277,1133.577
nextflow,78.0,3801.309,2008.362
nextflow,80.0,3830.129,1235.22
nextflow,82.0,3661.387,1155.414
nextflow,84.0,3830.789,2997.928
nextflow,86.0,3895.199,1800.906
nextflow,88.0,3897.711,2490.455
nextflow,90.0,4101.906,1295.231
nextflow,92.0,4696.84,1701.838
nextflow,94.0,5453.836,1482.107
nextflow,96.0,4971.082,1800.799
nextflow,98.0,4610.43,1188.72
nextflow,100.0,4121.656,1390.662
nextflow,102.0,3670.695,1698.233
nextflow,104.0,3712.551,3180.934
nextflow,106.0,4221.062,2075.157
nextflow,108.0,4133.164,1409.506
nextflow,110.0,4578.559,2000.886
nextflow,112.0,4147.293,1109.885
nextflow,114.0,4484.312,1320.197
nextflow,116.0,4401.199,1365.507
nextflow,118.0,4655.961,2114.125
nextflow,120.0,5133.188,1463.356
nextflow,122.0,7551.941,1872.004
nextflow,124.0,5368.641,3131.818
nextflow,126.0,4918.547,1521.087
nextflow,128.0,4925.262,1583.585
nextflow,130.0,6955.57,1800.739
nextflow,132.0,9598.777,1103.998
nextflow,134.0,8928.027,1598.234
nextflow,136.0,9568.359,1357.308
nextflow,138.0,10366.387,1705.676
nextflow,140.0,21950.5,3342.261
nextflow,142.0,16257.551,3801.746
nextflow,144.0,16257.551,0.0
nextflow,146.0,18075.48,1954.777
nextflow,148.0,10924.797,2046.294
nextflow,150.0,7577.492,839.346
nextflow,152.0,9651.594,1452.283
nextflow,154.0,7826.492,1910.387
nextflow,156.0,8476.23,1250.505
