t_sec,container,cpu_rate_core,cpu_pct_1core,mem_working_set_bytes,mem_mb
2.003,deployer,0,0,36741120,35.039
4.004,deployer,0.00029,0.029,36741120,35.039
6.005,deployer,0.000142,0.014,36741120,35.039
8.007,deployer,0.000134,0.013,36741120,35.039
10.008,deployer,0.583692,58.369,77365248,73.781
12.01,deployer,0.561425,56.142,88682496,84.574
14.011,deployer,0.105755,10.576,89251840,85.117
16.013,deployer,0.110678,11.068,89759744,85.602
18.014,deployer,0.202534,20.253,90554368,86.359
20.015,deployer,0.113004,11.3,90759168,86.555
22.017,deployer,0.156599,15.66,91189248,86.965
24.018,deployer,0.111038,11.104,91418624,87.184
26.019,deployer,0.175746,17.575,92065792,87.801
28.019,deployer,0,0,92065792,87.801
30.02,deployer,0.209014,20.901,92008448,87.746
32.021,deployer,0.210141,21.014,92176384,87.906
34.226,deployer,0.067929,6.793,91844608,87.59
36.227,deployer,0.141501,14.15,92041216,87.777
38.227,deployer,0.076697,7.67,91152384,86.93
40.228,deployer,0,0,91152384,86.93
42.229,deployer,0.071128,7.113,89858048,85.695
44.231,deployer,0.019907,1.991,89309184,85.172
46.231,deployer,0.223656,22.366,88883200,84.766
48.233,deployer,0.052595,5.26,37236736,35.512
50.234,deployer,0,0,37236736,35.512
52.235,deployer,0,0,37236736,35.512
54.235,deployer,0,0,37236736,35.512
56.237,deployer,0,0,37236736,35.512
58.238,deployer,0,0,37236736,35.512
60.239,deployer,0,0,37236736,35.512
62.24,deployer,0,0,37236736,35.512
64.241,deployer,0,0,37236736,35.512
66.242,deployer,0,0,37236736,35.512
68.243,deployer,0,0,37236736,35.512
70.245,deployer,0,0,37236736,35.512
72.246,deployer,0,0,37236736,35.512
74.247,deployer,0,0,37236736,35.512
76.249,deployer,0,0,37236736,35.512
78.25,deployer,0,0,37236736,35.512
80.251,deployer,0,0,37236736,35.512
82.251,deployer,0,0,37236736,35.512
84.253,deployer,0.037854,3.785,37257216,35.531
86.254,deployer,0.000034,0.003,37257216,35.531
88.255,deployer,0.00005,0.005,37257216,35.531
90.257,deployer,0.00022,0.022,37257216,35.531
92.258,deployer,0.585087,58.509,54980608,52.434
94.259,deployer,1.902814,190.281,122798080,117.109
96.259,deployer,4.798815,479.881,324759552,309.715
98.261,deployer,1.142832,114.283,325259264,310.191
100.262,deployer,2.67406,267.406,77774848,74.172
102.263,deployer,6.284033,628.403,597581824,569.898
104.263,deployer,11.345301,1134.53,1700392960,1621.621
106.265,deployer,1.15333,115.333,1867448320,1780.938
108.266,deployer,1.243412,124.341,1867448320,1780.938
110.267,deployer,1.231448,123.145,1867448320,1780.938
112.269,deployer,0.99843,99.843,1867448320,1780.938
114.27,deployer,0.506596,50.66,1867448320,1780.938
116.271,deployer,0.82858,82.858,1867448320,1780.938
118.273,deployer,0.933428,93.343,1867448320,1780.938
120.274,deployer,1.423052,142.305,1867448320,1780.938
122.275,deployer,0.855634,85.563,1867481088,1780.969
124.277,deployer,0.930663,93.066,1867481088,1780.969
126.278,deployer,1.531773,153.177,1867481088,1780.969
128.279,deployer,0.562304,56.23,1867481088,1780.969
130.279,deployer,1.236989,123.699,1867481088,1780.969
132.281,deployer,0.867428,86.743,1867481088,1780.969
134.282,deployer,0.754779,75.478,1867481088,1780.969
136.283,deployer,2.279321,227.932,1799065600,1715.723
138.285,deployer,5.059142,505.914,1706270720,1627.227
140.286,deployer,8.39455,839.455,1837301760,1752.188
142.287,deployer,2.806008,280.601,1803620352,1720.066
144.289,deployer,2.870095,287.01,1796415488,1713.195
146.29,deployer,1.827974,182.797,1831845888,1746.984
148.291,deployer,0.836359,83.636,1865904128,1779.465
150.293,deployer,1.457504,145.75,1865904128,1779.465
152.293,deployer,0.820762,82.076,1865928704,1779.488
154.295,deployer,0.810212,81.021,1865928704,1779.488
156.296,deployer,0.922206,92.221,1865867264,1779.43
158.297,deployer,0.960323,96.032,1865891840,1779.453
160.299,deployer,1.634267,163.427,1865781248,1779.348
162.299,deployer,0.982492,98.249,1865805824,1779.371
164.3,deployer,0.758218,75.822,1865805824,1779.371
166.302,deployer,1.661468,166.147,1837580288,1752.453
168.303,deployer,1.487834,148.783,1775620096,1693.363
170.303,deployer,0.996184,99.618,1808629760,1724.844
172.305,deployer,4.740818,474.082,1555763200,1483.691
174.306,deployer,5.242865,524.287,1504706560,1435
176.307,deployer,2.061319,206.132,1449254912,1382.117
178.309,deployer,2.278563,227.856,1355403264,1292.613
180.31,deployer,1.453473,145.347,1374744576,1311.059
182.311,deployer,2.420493,242.049,1411522560,1346.133
184.313,deployer,0.884136,88.414,1393860608,1329.289
186.314,deployer,1.433833,143.383,1411735552,1346.336
188.315,deployer,0.81406,81.406,1411735552,1346.336
190.317,deployer,1.129696,112.97,1411694592,1346.297
192.318,deployer,0.906022,90.602,1411694592,1346.297
194.319,deployer,0.971985,97.198,1411694592,1346.297
196.32,deployer,0.599972,59.997,1411694592,1346.297
198.322,deployer,1.754078,175.408,1411616768,1346.223
200.323,deployer,1.330649,133.065,1392472064,1327.965
202.323,deployer,1.860667,186.067,1224278016,1167.562
204.325,deployer,2.999801,299.98,1209499648,1153.469
206.326,deployer,2.475243,247.524,1129349120,1077.031
208.327,deployer,1.572069,157.207,1106206720,1054.961
210.329,deployer,1.871779,187.178,878010368,837.336
212.33,deployer,2.520221,252.022,899588096,857.914
214.33,deployer,0.518126,51.813,899588096,857.914
216.331,deployer,1.133511,113.351,849141760,809.805
218.333,deployer,1.637214,163.721,899989504,858.297
220.334,deployer,0.771883,77.188,899989504,858.297
222.335,deployer,1.896913,189.691,900165632,858.465
224.335,deployer,0.574063,57.406,900165632,858.465
226.337,deployer,1.487858,148.786,900165632,858.465
228.338,deployer,0.963686,96.369,900165632,858.465
230.339,deployer,0.665829,66.583,900165632,858.465
232.339,deployer,1.536511,153.651,900055040,858.359
234.341,deployer,1.37941,137.941,619970560,591.25
236.342,deployer,0,0,619970560,591.25
