group,_bin,mem_mb,cpu_pct_1core,,
parsl,2,1355.39,1678.266,13553.9,5034.798
parsl,4,1615.9,2155.113,16159,6465.339
parsl,6,1650.62,1559.718,16506.2,4679.154
parsl,8,1656.21,1591.149,16562.1,4773.447
parsl,10,1294.3,2151.792,12943,6455.376
parsl,12,917.58,1095.015,9175.8,3285.045
parsl,14,1093.09,1145.49,10930.9,3436.47
parsl,16,1339.45,2383.743,13394.5,7151.229
parsl,18,1130.04,1360.365,11300.4,4081.095
parsl,20,1570.31,2040.969,15703.1,6122.907
parsl,22,1630.59,758.301,16305.9,2274.903
parsl,24,1632.15,2157.618,16321.5,6472.854
parsl,26,1052.5,1158.987,10525,3476.961
parsl,28,1386.88,2366.799,13868.8,7100.397
parsl,30,1557.38,1468.197,15573.8,4404.591
parsl,32,1392.34,2266.518,13923.4,6799.554
parsl,34,1713.32,915.33,17133.2,2745.99
parsl,36,1712.89,1401.321,17128.9,4203.963
parsl,38,1269.41,1091.031,12694.1,3273.093
parsl,40,1436.56,1478.958,14365.6,4436.874
parsl,42,1325.59,2400.402,13255.9,7201.206
parsl,44,1714.22,1305.519,17142.2,3916.557
parsl,46,1500.27,1630.407,15002.7,4891.221
parsl,48,1553.83,3103.245,15538.3,9309.735
parsl,50,1645,1544.772,16450,4634.316
parsl,52,1351.25,741.318,13512.5,2223.954
parsl,54,1439.14,2465.355,14391.4,7396.065
parsl,56,1521.56,2010.108,15215.6,6030.324
parsl,58,1542.81,1213.404,15428.1,3640.212
parsl,60,1389.02,2131.053,13890.2,6393.159
parsl,62,1717.85,2642.208,17178.5,7926.624
parsl,64,1713.44,1603.866,17134.4,4811.598
parsl,66,1424.38,1652.454,14243.8,4957.362
parsl,68,1296.8,1668.285,12968,5004.855
parsl,70,1709.65,1736.928,17096.5,5210.784
parsl,72,1505.9,1900.959,15059,5702.877
parsl,74,1452.89,1716.996,14528.9,5150.988
parsl,76,1664.38,1315.788,16643.8,3947.364
parsl,78,1183.32,2372.649,11833.2,7117.947
parsl,80,1544.49,1588.314,15444.9,4764.942
parsl,82,1383.01,2385.906,13830.1,7157.718
parsl,84,1253.05,1241.598,12530.5,3724.794
parsl,86,1476.76,2655.906,14767.6,7967.718
parsl,88,1410.82,1229.22,14108.2,3687.66
parsl,90,1299.18,3395.463,12991.8,10186.389
parsl,92,1401.45,2140.578,14014.5,6421.734
parsl,94,1549.38,1714.995,15493.8,5144.985
parsl,96,1287.73,1180.746,12877.3,3542.238
parsl,98,1605.08,1629.159,16050.8,4887.477
parsl,100,1458.87,1593.243,14588.7,4779.729
parsl,102,1505,3228.387,15050,9685.161
parsl,104,1720.39,749.604,17203.9,2248.812
parsl,106,1720.43,1713.339,17204.3,5140.017
parsl,108,1493.95,3165.969,14939.5,9497.907
parsl,110,1210.55,1218.852,12105.5,3656.556
parsl,112,1309.3,859.149,13093,2577.447
parsl,114,1722.89,2300.376,17228.9,6901.128
parsl,116,1021.88,486.597,10218.8,1459.791
parsl,118,1056.95,2066.883,10569.5,6200.649
parsl,120,1053.32,2595.444,10533.2,7786.332
parsl,122,1506.45,1163.019,15064.5,3489.057
parsl,124,1664.96,2563.248,16649.6,7689.744
parsl,126,1236.05,1266.696,12360.5,3800.088
parsl,128,1723.79,1549.497,17237.9,4648.491
parsl,130,1724.26,1134.504,17242.6,3403.512
parsl,132,1271.68,1253.544,12716.8,3760.632
parsl,134,1576.91,1418.136,15769.1,4254.408
parsl,136,1465.78,2155.824,14657.8,6467.472
parsl,138,1614.61,2572.764,16146.1,7718.292
parsl,140,1725.74,1720.326,17257.4,5160.978
parsl,142,1602.5,1304.925,16025,3914.775
parsl,144,1394.14,939.294,13941.4,2817.882
parsl,146,1637.89,1312.098,16378.9,3936.294
parsl,148,1644.65,2434.845,16446.5,7304.535
parsl,150,1472.11,2757.591,14721.1,8272.773
parsl,152,1585.31,2082.138,15853.1,6246.414
parsl,154,1535,2650.962,15350,7952.886
parsl,156,2746.05,909.198,27460.5,2727.594
parsl,158,4151.91,951.384,41519.1,2854.152
parsl,160,8775.12,1167.834,87751.2,3503.502
parsl,162,11940.62,2475.6,119406.2,7426.8
parsl,164,1771.99,1561.11,17719.9,4683.33
parsl,166,5151.25,1388.856,51512.5,4166.568
parsl,168,8605.16,1054.677,86051.6,3164.031
parsl,170,12519.1,3493.56,125191,10480.68
parsl,172,1964.88,1065.156,19648.8,3195.468
parsl,174,4950.12,1243.545,49501.2,3730.635
parsl,176,7231.88,574.392,72318.8,1723.176
parsl,178,49823.79,1647.699,498237.9,4943.097
parsl,180,12127.42,1716.231,121274.2,5148.693
parsl,182,4475.35,1921.857,44753.5,5765.571
parsl,184,6209.73,531.297,62097.3,1593.891
parsl,186,13034.88,1501.512,130348.8,4504.536
parsl,188,11652.58,2681.511,116525.8,8044.533
parsl,190,3971.76,1345.476,39717.6,4036.428
parsl,192,5465.43,713.742,54654.3,2141.226
parsl,194,12707.54,2157.54,127075.4,6472.62
parsl,196,12466.02,1662.336,124660.2,4987.008
parsl,198,3287.7,1178.919,32877,3536.757
parsl,200,5240.9,1236.834,52409,3710.502
parsl,202,11829.96,2831.574,118299.6,8494.722
parsl,204,1535.35,2347.47,15353.5,7042.41
parsl,206,3305.47,329.391,33054.7,988.173
parsl,208,6250.39,1254.441,62503.9,3763.323
parsl,210,46910.86,1651.77,469108.6,4955.31
parsl,212,11533.67,1891.677,115336.7,5675.031
parsl,214,3450.47,1212.249,34504.7,3636.747
parsl,216,5846.76,1125.378,58467.6,3376.134
parsl,218,20140.82,1550.394,201408.2,4651.182
parsl,220,11470.39,2666.04,114703.9,7998.12
parsl,222,3762.27,1109.088,37622.7,3327.264
parsl,224,5691.88,977.001,56918.8,2931.003
parsl,226,10475.12,1108.098,104751.2,3324.294
parsl,228,11381.91,2118.789,113819.1,6356.367
parsl,230,3967.46,1509.846,39674.6,4529.538
parsl,232,6400.31,1445.172,64003.1,4335.516
parsl,234,29629.69,2340.276,296296.9,7020.828
parsl,236,1296.45,2229.255,12964.5,6687.765
parsl,238,3689.06,732.15,36890.6,2196.45
parsl,240,5094.1,831.036,50941,2493.108
parsl,242,8983.71,785.706,89837.1,2357.118
parsl,244,12139.26,3201.534,121392.6,9604.602
parsl,246,3047.07,1192.503,30470.7,3577.509
parsl,248,4369.26,1129.473,43692.6,3388.419
parsl,250,31673.09,2890.458,316730.9,8671.374
parsl,252,6235.04,1682.472,62350.4,5047.416
parsl,254,3471.88,875.934,34718.8,2627.802
parsl,256,4811.21,773.814,48112.1,2321.442
parsl,258,13740.94,1750.71,137409.4,5252.13
parsl,260,11648.98,2231.925,116489.8,6695.775
parsl,262,5344.69,1033.359,53446.9,3100.077
parsl,264,5673.63,2105.301,56736.3,6315.903
parsl,266,16430.59,2784.105,164305.9,8352.315
parsl,268,12152.5,1350.324,121525,4050.972
parsl,270,2545.59,959.628,25455.9,2878.884
parsl,272,4581.21,1015.68,45812.1,3047.04
parsl,274,7379.65,710.169,73796.5,2130.507
parsl,276,12012.27,3855.159,120122.7,11565.477
parsl,278,1904.38,729.312,19043.8,2187.936
parsl,280,3816.37,1132.422,38163.7,3397.266
parsl,282,24461.33,4109.886,244613.3,12329.658
parsl,284,6480.2,999.528,64802,2998.584
parsl,286,2438.67,809.844,24386.7,2429.532
parsl,288,4338.09,565.158,43380.9,1695.474
parsl,290,14881.09,1593.702,148810.9,4781.106
parsl,292,11803.98,3039.471,118039.8,9118.413
parsl,294,1974.02,675.612,19740.2,2026.836
parsl,296,5674.8,2081.922,56748,6245.766
parsl,298,25792.85,1676.835,257928.5,5030.505
parsl,300,11684.57,2692.458,116845.7,8077.374
parsl,302,3860.08,1395.687,38600.8,4187.061
parsl,304,5954.14,844.44,59541.4,2533.32
parsl,306,9462.46,626.289,94624.6,1878.867
parsl,308,11834.49,3241.38,118344.9,9724.14
parsl,310,2967.07,1258.134,29670.7,3774.402
parsl,312,4468.71,1126.971,44687.1,3380.913
parsl,314,7512.23,938.1,75122.3,2814.3
parsl,316,6621.68,4422.645,66216.8,13267.935
parsl,318,3392.34,646.044,33923.4,1938.132
parsl,320,4449.34,784.857,44493.4,2354.571
parsl,322,12266.33,1959.594,122663.3,5878.782
parsl,324,11437.38,2144.736,114373.8,6434.208
parsl,326,1425.74,648.054,14257.4,1944.162
parsl,328,4287.15,1508.718,42871.5,4526.154
parsl,330,18721.33,2768.736,187213.3,8306.208
parsl,332,11123.67,2249.406,111236.7,6748.218
parsl,334,2305.47,1573.305,23054.7,4719.915
parsl,336,5938.44,1254.315,59384.4,3762.945
parsl,338,26398.52,1403.589,263985.2,4210.767
parsl,340,11422.73,1582.221,114227.3,4746.663
parsl,342,6687.5,1452.819,66875,4358.457
parsl,344,4379.49,1315.278,43794.9,3945.834
parsl,346,7262.54,1245.417,72625.4,3736.251
parsl,348,6579.22,4354.938,65792.2,13064.814
parsl,350,3346.56,1046.673,33465.6,3140.019
parsl,352,4728.63,785.871,47286.3,2357.613
parsl,354,14915.31,2015.727,149153.1,6047.181
parsl,356,11706.05,1655.13,117060.5,4965.39
parsl,358,2969.61,1608.252,29696.1,4824.756
parsl,360,5027.85,1245.177,50278.5,3735.531
parsl,362,18820.31,2453.592,188203.1,7360.776
