2022-04-01 22:35:28	PARSER: Configured single cleaning
2022-04-01 22:35:28	PARSER: Configured single topng
2022-04-01 22:35:28	PARSER: Configured single detector
2022-04-01 22:35:28	PARSER: Configured pattern cleaningpattern
2022-04-01 22:35:28	PARSER: Configured pattern topngpattern
2022-04-01 22:35:28	PARSER: Configured pattern detectorpattern
2022-04-01 22:35:28	PARSER: Configured stage cleaningstage
2022-04-01 22:35:28	PARSER: Configured stage topngstage
2022-04-01 22:35:28	PARSER: Configured stage detectorstage
2022-04-01 22:35:28	PARSER: Configured workflow dicomimages2
2022-04-01 22:35:28	LAUCHER: Coupling stages and building blocks
2022-04-01 22:35:28	dicomimages2: Workdir dicomimages2
2022-04-01 22:35:28	dicomimages2: Workdir exists
2022-04-01 22:35:28	dicomimages2: Stage cleaningstage added
2022-04-01 22:35:28	cleaningstage: Workdir cleaningstage
2022-04-01 22:35:28	cleaningstage: Workdir exists
2022-04-01 22:35:28	cleaningstage: Added building block cleaningpattern
2022-04-01 22:35:28	cleaningpattern: Workdir cleaningpattern
2022-04-01 22:35:28	cleaningpattern: Workdir exists
2022-04-01 22:35:28	cleaning: Workdir cleaning
2022-04-01 22:35:28	cleaning: Workdir exists
2022-04-01 22:35:28	dicomimages2: Stage topngstage added
2022-04-01 22:35:28	topngstage: Workdir topngstage
2022-04-01 22:35:28	topngstage: Workdir exists
2022-04-01 22:35:28	topngstage: Added source cleaningstage
2022-04-01 22:35:28	topngstage: Added building block topngpattern
2022-04-01 22:35:28	topngpattern: Workdir topngpattern
2022-04-01 22:35:28	topngpattern: Workdir exists
2022-04-01 22:35:28	topng: Workdir topng
2022-04-01 22:35:28	topng: Workdir exists
2022-04-01 22:35:28	dicomimages2: Stage detectorstage added
2022-04-01 22:35:28	detectorstage: Workdir detectorstage
2022-04-01 22:35:28	detectorstage: Workdir exists
2022-04-01 22:35:28	detectorstage: Added source topngstage
2022-04-01 22:35:28	detectorstage: Added building block detectorpattern
2022-04-01 22:35:28	detectorpattern: Workdir detectorpattern
2022-04-01 22:35:28	detectorpattern: Workdir exists
2022-04-01 22:35:28	detector: Workdir detector
2022-04-01 22:35:28	detector: Workdir exists
2022-04-01 22:35:28	LAUNCHER: Creating YML file at dicomimages2/docker-compose.yml
2022-04-01 22:35:28	LAUNCHER: WARNING: topngstage  doesn't exist or it isn't a directory
2022-04-01 22:35:28	LAUNCHER: WARNING: cleaningstage  doesn't exist or it isn't a directory
2022-04-01 22:35:28	LAUNCHER: WARNING: /home/fher/test_images/  doesn't exist or it isn't a directory
2022-04-01 22:35:28	LAUNCHER: WARNING: topngstage  doesn't exist or it isn't a directory
2022-04-01 22:35:28	LAUNCHER: WARNING: cleaningstage  doesn't exist or it isn't a directory
2022-04-01 22:35:28	LAUNCHER: WARNING: /home/fher/test_images/  doesn't exist or it isn't a directory
2022-04-01 22:35:28	LAUCHER: deploying virtual containers of workflow dicomimages2
2022-04-01 22:35:28	dicomimages2: executing 
2022-04-01 22:35:28	cleaningstage: waiting
2022-04-01 22:35:28	topngstage: waiting
2022-04-01 22:35:28	detectorstage: waiting
2022-04-01 22:35:28	cleaningstage: WORKING
2022-04-01 22:35:28	topngstage: ERROR stage 0	1 failed
2022-04-01 22:35:28	cleaningstageWARNING: /home/fher/test_images/  doesn't exist

2022-04-01 22:35:28	topngstage: ERROR stage 0	1 failed
2022-04-01 22:35:28	detectorstage: ERROR stage 0	1 failed
2022-04-01 22:35:28	topngstage: ERROR stage 0	1 failed
2022-04-01 22:35:28	detectorstage: ERROR stage 0	1 failed
2022-04-01 22:35:28	topngstage: ERROR stage 0	1 failed
2022-04-01 22:35:28	detectorstage: ERROR stage 0	1 failed
2022-04-01 22:35:28	detectorstage: ERROR stage 0	1 failed
2022-04-01 22:35:28	topngstage: ERROR stage 0	1 failed
2022-04-01 22:35:28	cleaningstage:  has 0 sources
2022-04-01 22:35:28	detectorstage: ERROR stage 0	1 failed
2022-04-01 22:35:28	topngstage: ERROR stage 0	1 failed
2022-04-01 22:35:28	topngstage: ERROR stage 0	1 failed
2022-04-01 22:35:28	topngstage: ERROR stage 0	1 failed
2022-04-01 22:35:28	cleaningstage: ERROR stage does not have sources 
2022-04-01 22:35:28	topngstage: ERROR stage 0	1 failed
2022-04-01 22:35:28	detectorstage: ERROR stage 0	1 failed
2022-04-01 22:35:28	topngstage: stage cleaningstage failed
2022-04-01 22:35:28	detectorstage: ERROR stage 0	1 failed
2022-04-01 22:35:28	detectorstage: ERROR stage 0	1 failed
2022-04-01 22:35:28	detectorstage: ERROR stage 0	1 failed
2022-04-01 22:35:28	detectorstage: ERROR stage 0	1 failed
2022-04-01 22:35:28	detectorstage: ERROR stage 0	1 failed
2022-04-01 22:35:28	detectorstage: ERROR stage 0	1 failed
2022-04-01 22:35:28	detectorstage: ERROR stage 0	1 failed
2022-04-01 22:35:28	detectorstage: ERROR stage 0	1 failed
2022-04-01 22:35:28	detectorstage: ERROR stage 0	1 failed
2022-04-01 22:35:28	detectorstage: ERROR stage 0	1 failed
2022-04-01 22:35:28	detectorstage: ERROR stage 0	1 failed
2022-04-01 22:35:28	detectorstage: ERROR stage 0	1 failed
2022-04-01 22:35:28	detectorstage: ERROR stage 0	1 failed
2022-04-01 22:35:28	detectorstage: ERROR stage 0	1 failed
2022-04-01 22:35:28	detectorstage: ERROR stage 0	1 failed
2022-04-01 22:35:28	detectorstage: ERROR stage 0	1 failed
2022-04-01 22:35:28	detectorstage: ERROR stage 0	1 failed
2022-04-01 22:35:28	detectorstage: ERROR stage 0	1 failed
2022-04-01 22:35:28	detectorstage: ERROR stage 0	1 failed
2022-04-01 22:35:28	detectorstage: ERROR stage 0	1 failed
2022-04-01 22:35:28	detectorstage: ERROR stage 0	1 failed
2022-04-01 22:35:28	detectorstage: ERROR stage 0	1 failed
2022-04-01 22:35:28	detectorstage: ERROR stage 0	1 failed
2022-04-01 22:35:28	detectorstage: ERROR stage 0	1 failed
2022-04-01 22:35:28	detectorstage: ERROR stage 0	1 failed
2022-04-01 22:35:28	detectorstage: ERROR stage 0	1 failed
2022-04-01 22:35:28	detectorstage: ERROR stage 0	1 failed
2022-04-01 22:35:28	detectorstage: ERROR stage 0	1 failed
2022-04-01 22:35:28	detectorstage: ERROR stage 0	1 failed
