2022-04-01 22:37:03	PARSER: Configured single cleaning
2022-04-01 22:37:03	PARSER: Configured single topng
2022-04-01 22:37:03	PARSER: Configured single detector
2022-04-01 22:37:03	PARSER: Configured pattern cleaningpattern
2022-04-01 22:37:03	PARSER: Configured pattern topngpattern
2022-04-01 22:37:03	PARSER: Configured pattern detectorpattern
2022-04-01 22:37:03	PARSER: Configured stage cleaningstage
2022-04-01 22:37:03	PARSER: Configured stage topngstage
2022-04-01 22:37:03	PARSER: Configured stage detectorstage
2022-04-01 22:37:03	PARSER: Configured workflow dicomimages2
2022-04-01 22:37:03	LAUCHER: Coupling stages and building blocks
2022-04-01 22:37:03	dicomimages2: Workdir dicomimages2
2022-04-01 22:37:03	dicomimages2: Workdir exists
2022-04-01 22:37:03	dicomimages2: Stage cleaningstage added
2022-04-01 22:37:03	cleaningstage: Workdir cleaningstage
2022-04-01 22:37:03	cleaningstage: Workdir exists
2022-04-01 22:37:03	cleaningstage: Added building block cleaningpattern
2022-04-01 22:37:03	cleaningpattern: Workdir cleaningpattern
2022-04-01 22:37:03	cleaningpattern: Workdir exists
2022-04-01 22:37:03	cleaning: Workdir cleaning
2022-04-01 22:37:03	cleaning: Workdir exists
2022-04-01 22:37:03	dicomimages2: Stage topngstage added
2022-04-01 22:37:03	topngstage: Workdir topngstage
2022-04-01 22:37:03	topngstage: Workdir exists
2022-04-01 22:37:03	topngstage: Added source cleaningstage
2022-04-01 22:37:03	topngstage: Added building block topngpattern
2022-04-01 22:37:03	topngpattern: Workdir topngpattern
2022-04-01 22:37:03	topngpattern: Workdir exists
2022-04-01 22:37:03	topng: Workdir topng
2022-04-01 22:37:03	topng: Workdir exists
2022-04-01 22:37:03	dicomimages2: Stage detectorstage added
2022-04-01 22:37:03	detectorstage: Workdir detectorstage
2022-04-01 22:37:03	detectorstage: Workdir exists
2022-04-01 22:37:03	detectorstage: Added source topngstage
2022-04-01 22:37:03	detectorstage: Added building block detectorpattern
2022-04-01 22:37:03	detectorpattern: Workdir detectorpattern
2022-04-01 22:37:03	detectorpattern: Workdir exists
2022-04-01 22:37:03	detector: Workdir detector
2022-04-01 22:37:03	detector: Workdir exists
2022-04-01 22:37:03	LAUNCHER: Creating YML file at dicomimages2/docker-compose.yml
2022-04-01 22:37:03	LAUNCHER: WARNING: topngstage  doesn't exist or it isn't a directory
2022-04-01 22:37:03	LAUNCHER: WARNING: cleaningstage  doesn't exist or it isn't a directory
2022-04-01 22:37:03	LAUNCHER: WARNING: /home/fher/test_images/  doesn't exist or it isn't a directory
2022-04-01 22:37:03	LAUNCHER: WARNING: topngstage  doesn't exist or it isn't a directory
2022-04-01 22:37:03	LAUNCHER: WARNING: cleaningstage  doesn't exist or it isn't a directory
2022-04-01 22:37:03	LAUNCHER: WARNING: /home/fher/test_images/  doesn't exist or it isn't a directory
2022-04-01 22:37:03	LAUCHER: deploying virtual containers of workflow dicomimages2
2022-04-01 22:37:03	dicomimages2: executing 
2022-04-01 22:37:03	topngstage: waiting
2022-04-01 22:37:03	cleaningstage: waiting
2022-04-01 22:37:03	detectorstage: waiting
2022-04-01 22:37:03	topngstage: stage 0	1 failed
2022-04-01 22:37:03	topngstage: stage 0	1 failed
2022-04-01 22:37:03	detectorstage: stage 0	1 failed
2022-04-01 22:37:03	topngstage: stage 0	1 failed
2022-04-01 22:37:03	cleaningstage: WORKING
2022-04-01 22:37:03	detectorstage: stage 0	1 failed
2022-04-01 22:37:03	topngstage: stage 0	1 failed
2022-04-01 22:37:03	detectorstage: stage 0	1 failed
2022-04-01 22:37:03	cleaningstageWARNING: /home/fher/test_images/  doesn't exist

2022-04-01 22:37:03	detectorstage: stage 0	1 failed
2022-04-01 22:37:03	topngstage: stage 0	1 failed
2022-04-01 22:37:03	cleaningstage:  has 0 sources
2022-04-01 22:37:03	topngstage: stage 0	1 failed
2022-04-01 22:37:03	detectorstage: stage 0	1 failed
2022-04-01 22:37:03	topngstage: stage 0	1 failed
2022-04-01 22:37:03	cleaningstage: ERROR stage does not have sources 
2022-04-01 22:37:03	detectorstage: stage 0	1 failed
2022-04-01 22:37:03	topngstage: stage 0	1 failed
2022-04-01 22:37:03	detectorstage: stage 0	1 failed
2022-04-01 22:37:03	topngstage: ERROR stage cleaningstage failed
2022-04-01 22:37:03	detectorstage: stage 0	1 failed
2022-04-01 22:37:03	detectorstage: stage 0	1 failed
2022-04-01 22:37:03	detectorstage: stage 0	1 failed
2022-04-01 22:37:03	detectorstage: stage 0	1 failed
2022-04-01 22:37:03	detectorstage: stage 0	1 failed
2022-04-01 22:37:03	detectorstage: stage 0	1 failed
2022-04-01 22:37:03	detectorstage: stage 0	1 failed
2022-04-01 22:37:03	detectorstage: stage 0	1 failed
2022-04-01 22:37:03	detectorstage: stage 0	1 failed
2022-04-01 22:37:03	detectorstage: stage 0	1 failed
2022-04-01 22:37:03	detectorstage: stage 0	1 failed
2022-04-01 22:37:03	detectorstage: stage 0	1 failed
2022-04-01 22:37:03	detectorstage: stage 0	1 failed
2022-04-01 22:37:03	detectorstage: stage 0	1 failed
2022-04-01 22:37:03	detectorstage: stage 0	1 failed
2022-04-01 22:37:03	detectorstage: stage 0	1 failed
2022-04-01 22:37:03	detectorstage: stage 0	1 failed
2022-04-01 22:37:03	detectorstage: stage 0	1 failed
2022-04-01 22:37:03	detectorstage: stage 0	1 failed
2022-04-01 22:37:03	detectorstage: stage 0	1 failed
2022-04-01 22:37:03	detectorstage: stage 0	1 failed
2022-04-01 22:37:03	detectorstage: stage 0	1 failed
2022-04-01 22:37:03	detectorstage: stage 0	1 failed
2022-04-01 22:37:03	detectorstage: stage 0	1 failed
2022-04-01 22:37:03	detectorstage: stage 0	1 failed
2022-04-01 22:37:03	detectorstage: stage 0	1 failed
2022-04-01 22:37:03	detectorstage: stage 0	1 failed
2022-04-01 22:37:03	detectorstage: stage 0	1 failed
2022-04-01 22:37:03	detectorstage: stage 0	1 failed
2022-04-01 22:37:03	detectorstage: stage 0	1 failed
2022-04-01 22:37:03	detectorstage: stage 0	1 failed
2022-04-01 22:37:03	detectorstage: stage 0	1 failed
2022-04-01 22:37:03	detectorstage: stage 0	1 failed
2022-04-01 22:37:03	detectorstage: stage 0	1 failed
2022-04-01 22:37:03	detectorstage: stage 0	1 failed
2022-04-01 22:37:03	detectorstage: stage 0	1 failed
2022-04-01 22:37:03	detectorstage: stage 0	1 failed
2022-04-01 22:37:03	detectorstage: stage 0	1 failed
2022-04-01 22:37:03	detectorstage: stage 0	1 failed
2022-04-01 22:37:03	detectorstage: stage 0	1 failed
2022-04-01 22:37:03	detectorstage: stage 0	1 failed
2022-04-01 22:37:03	detectorstage: stage 0	1 failed
2022-04-01 22:37:03	detectorstage: stage 0	1 failed
2022-04-01 22:37:03	detectorstage: stage 0	1 failed
2022-04-01 22:37:03	detectorstage: stage 0	1 failed
2022-04-01 22:37:03	detectorstage: stage 0	1 failed
2022-04-01 22:37:03	detectorstage: stage 0	1 failed
2022-04-01 22:37:03	detectorstage: stage 0	1 failed
2022-04-01 22:37:03	detectorstage: stage 0	1 failed
2022-04-01 22:37:03	detectorstage: stage 0	1 failed
2022-04-01 22:37:03	detectorstage: stage 0	1 failed
2022-04-01 22:37:03	detectorstage: stage 0	1 failed
2022-04-01 22:37:03	detectorstage: stage 0	1 failed
2022-04-01 22:37:03	detectorstage: stage 0	1 failed
2022-04-01 22:37:03	detectorstage: stage 0	1 failed
2022-04-01 22:37:03	detectorstage: stage 0	1 failed
2022-04-01 22:37:03	detectorstage: stage 0	1 failed
2022-04-01 22:37:03	detectorstage: stage 0	1 failed
2022-04-01 22:37:03	detectorstage: stage 0	1 failed
2022-04-01 22:37:03	detectorstage: stage 0	1 failed
2022-04-01 22:37:03	detectorstage: stage 0	1 failed
2022-04-01 22:37:03	detectorstage: stage 0	1 failed
